Latitude,Longitude,AQI
0.27128140991089883,0.7587280142591581,53.0
0.3304275287588972,0.7804222774514541,47.0
0.36178223915966407,0.7612578119953725,69.0
0.3517234628830918,0.778685503678445,69.0
0.3137419555061282,0.7769437259076177,48.0
0.2842054983727576,0.7671812918009453,52.0
0.34535027203883334,0.7784483831304766,65.0
0.3361168615018974,0.7698565084299134,74.0
0.35287642442853423,0.7643747802981177,63.0
0.3601501589345724,0.7691690071847902,45.0
0.36014523619171696,0.772226251363263,74.0
0.2770678182942619,0.7565602803149736,59.0
0.3122015401480022,0.7753907106348629,52.0
0.3568615757385844,0.7682630015171934,71.0
0.3131811235388206,0.7887648506824289,52.0
0.3311110685793672,0.7697441639778535,67.0
0.31088682830606,0.7553682632647756,43.0
0.3303117169894763,0.7747201226934298,15.0
0.3262865683937248,0.7631211378134115,46.0
0.34205447447831544,0.7650770637079856,65.0
0.7980827317013055,0.0,13.0
0.9228739660277272,0.11161034782036672,51.0
0.9762886754125417,0.12056324163700594,46.0
1.0,0.13357090936001748,24.0
0.8626053132776264,0.271530418827409,10.0
0.8969193560084772,0.0819782502018338,32.0
0.9298401139801695,0.11989407445486999,57.0
0.38264843056379955,0.5373389489680289,22.0
0.3033626704759644,0.5340307318384416,51.0
0.3892821448424571,0.5048368444422033,44.0
0.3245128319992206,0.5194393562631556,57.0
0.32085686789891693,0.5305879917862979,25.0
0.3350724124864693,0.5057544146726074,58.0
0.37827762903219847,0.49201676918019555,51.0
0.3630530494715712,0.528771519684782,58.0
0.3119548513185248,0.5155871450242038,54.0
0.32207006938818233,0.5112417527142745,54.0
0.289099320114043,0.5178627208670876,43.0
0.35470072503090394,0.49670567183721714,42.0
0.3175280964487544,0.4790823959220949,47.0
0.35660266492684484,0.7202974990572583,65.0
0.3273411175194944,0.7163251396368726,54.0
0.3494092008355591,0.7042111608519638,40.0
0.384615002678439,0.729179710098871,60.0
0.37100535861778544,0.7345658817211826,61.0
0.36905122067260027,0.7112203201424085,61.0
0.3555613775005784,0.7052414411710115,61.0
0.34965175201479165,0.7150786009486514,67.0
0.389825322835386,0.7095595883320686,42.0
0.3334553763332941,0.6943680046343497,59.0
0.38653644257732916,0.7376186546865735,59.0
0.3593888312894968,0.6967096980183426,32.0
0.38448853911197706,0.7030676585530551,50.0
0.35684139673662046,0.7304612663250597,57.0
0.3579857859195041,0.6924331289602424,55.0
0.3723312527247487,0.7041981024025427,59.0
0.36164580279517583,0.7127514285604147,68.0
0.3750875006933216,0.6903641064469219,58.0
0.3290617858972668,0.7086670903245529,46.0
0.38901035426816016,0.6930291270385819,56.0
0.3721013479021625,0.7186611604304369,56.0
0.42314331644931563,0.40195771020110294,42.0
0.43774497807024154,0.4151950185922546,35.0
0.45864450408224816,0.4057471259684784,39.0
0.43475831602982146,0.4160741029605248,37.0
0.4557084062496937,0.40229907896249006,34.0
0.4311377871905903,0.40089914005722926,44.0
0.5060341581488008,0.38051660333266457,17.0
0.4505265616139194,0.4234878339075552,43.0
0.4007148331875537,0.42836594827330887,47.0
0.4626781189469625,0.40028806730487787,35.0
0.4899255006524968,0.37970033532948966,37.0
0.3239229516053212,0.46983439159529783,79.0
0.3988299531418537,0.45611129843892084,45.0
0.371238913060075,0.43586969894726857,45.0
0.39020736587467225,0.42771834320285707,38.0
0.45238788888130194,0.3926523322709292,42.0
0.35981144451990293,0.4427108952378791,41.0
0.40643716103891775,0.42307467501463036,37.0
0.429887771223504,0.39685491737798917,29.0
0.42079470129539015,0.42485676683051055,44.0
0.45478475540269964,0.38972003133651767,41.0
0.4152371580173721,0.41865033654288064,47.0
0.42295773753114857,0.43397731024419794,46.0
0.39286441633096175,0.4115161086472603,42.0
0.43707310854533404,0.39919305886373957,37.0
0.4566481196671259,0.4121531102567819,45.0
0.338696718257719,0.4448507154405812,44.0
0.4555998300635216,0.4218961029439563,44.0
0.47163044511058955,0.41331512421358996,39.0
0.3394158206515769,0.46271791274413054,56.0
0.4425368863031853,0.40758263206587086,50.0
0.39829161301690347,0.41109514602496144,42.0
0.3564423787219702,0.4511202337090541,62.0
0.32898715966182285,0.4503815537889597,39.0
0.4255089914534818,0.398118557411572,39.0
0.42491569484579067,0.4071397625888231,41.0
0.3674867008494575,0.4179466532672349,44.0
0.4195038392938342,0.4001627166371946,41.0
0.3582446755125243,0.41658559720097044,45.0
0.4167993225626831,0.4017561086355599,39.0
0.4095089737995074,0.4002562882623668,40.0
0.4843706521518179,0.40671189465847046,44.0
0.5095551924136799,0.39566842666358615,38.0
0.4326503848078384,0.399801196076661,43.0
0.44435382400999074,0.39286579090854645,40.0
