Latitude,Longitude,AQI
30.497478,-87.880258,48.564748201438846
31.664302,-85.606175,51.6
33.284928,-85.803608,50.551094890510946
34.762619,-87.638097,47.65615141955836
34.288567,-85.969858,60.223404255319146
34.289001,-85.970065,45.97752808988764
32.498567,-86.136587,45.11666666666667
31.106567,-87.071081,54.81818181818182
34.015097,-86.012194,26.0
33.98821,-85.992556,57.25773195876289
33.904039,-86.053867,52.47849462365591
31.228787,-85.375489,56.787234042553195
33.553056,-86.815,75.87619047619047
33.485556,-86.915,129.0
33.331111,-87.003611,76.76923076923077
33.459722,-87.305556,75.88235294117646
33.545278,-86.549167,87.0
33.499722,-86.924167,70.07692307692308
33.386389,-86.816667,83.71428571428571
33.704722,-86.669167,76.28
33.801667,-86.9425,79.0
33.578333,-86.773889,147.0
33.585556,-86.779444,70.8
33.565278,-86.796389,73.18367346938776
34.342904,-87.33973,49.83882783882784
34.685702,-86.88081,51.516363636363636
34.728831,-86.585003,17.6
34.68547,-86.58816,51.04788732394366
32.503747,-87.834735,19.47222222222222
30.76652,-88.075727,57.074074074074076
30.770181,-88.087761,40.45864661654135
30.658497,-88.036665,59.5
30.474305,-88.141022,57.893081761006286
30.7703,-88.0875,4.589743589743589
32.42597,-86.285247,58.675
32.412811,-86.263394,44.92156862745098
34.530717,-86.967536,57.929577464788736
31.790479,-85.978974,21.6875
32.472136,-85.005028,61.55769230769231
32.46735,-85.083447,37.94318181818182
33.317142,-86.825754,56.454081632653065
33.312927,-86.821104,56.41860465116279
32.36401,-88.201865,43.49110320284697
33.27947,-86.349438,60.627272727272725
33.436775,-86.100527,26.5
33.189931,-87.484189,54.5
33.089772,-87.459733,40.460732984293195
33.832885,-87.272505,58.51923076923077
55.324675,-160.508331,15.791666666666666
61.205861,-149.824602,33.18103448275862
61.193337,-149.868868,23.8
61.21445,-149.725256,42.94444444444444
61.181083,-149.817389,29.846153846153847
61.191514,-149.93493,30.48
61.140277,-149.947222,18.666666666666668
61.3267,-149.569707,87.33333333333333
63.7232,-148.9676,33.73351648351648
64.844847,-147.723536,23.023255813953487
64.840672,-147.722461,42.9010989010989
64.832347,-147.733813,29.36111111111111
64.84179,-147.753258,11.0
58.388497,-134.567237,38.229166666666664
58.365508,-134.516499,19.264705882352942
59.982667,-152.661089,9.557522123893806
61.534163,-149.031655,36.111111111111114
62.314754,-150.317909,9.328358208955224
35.746005,-109.072386,21.039735099337747
34.058475,-109.441259,23.86
31.3658,-109.73095,126.0
31.3492,-109.539683,46.75
32.00941,-109.38906,54.73668639053255
35.206111,-111.652777,53.5
36.05864,-112.1836,55.14868804664723
35.973117,-111.984846,37.0
35.140635,-111.969938,60.333333333333336
34.229733,-111.3295,55.52272727272727
33.6547,-111.1074,75.97524752475248
33.006179,-110.785797,57.0
33.419017,-110.82967,11.0
34.090866,-110.942801,33.5
32.83388,-109.718611,21.05
33.49462,-112.13098,58.0
33.48378,-112.14256,63.61538461538461
33.287828,-111.817361,143.0
33.56031,-112.06619,109.25
33.57453,-112.19193,128.25
33.70639,-111.85575,96.9
33.45797,-112.04659,57.044444444444444
33.47968,-111.91721,50.25
33.474486,-112.19293,82.0
33.46093,-112.11748,61.24657534246575
33.40314,-112.07526,83.0
33.29896,-111.88426,104.0
33.41123,-111.93471,104.0
33.30995,-111.72003,66.0
33.82169,-112.01726,96.33333333333333
33.40635,-112.14426,76.75
33.290229,-112.160597,77.5
33.4349,-112.093,44.0
33.9828,-111.79871,90.5
33.54558,-111.60972,101.58333333333333
33.61092,-111.72534,82.4
33.71881,-111.67183,93.76470588235294
33.4265,-112.11821,87.0
33.39166,-111.926388,84.0
33.348851,-112.831103,67.0
33.503833,-112.095767,69.6
35.540017,-113.410782,29.862068965517242
35.153888,-114.566111,31.142857142857142
35.588726,-113.489025,41.125
36.019302,-114.069205,21.666666666666668
34.2525,-110.036388,38.0
34.82251,-109.89249,54.08857142857143
32.382036,-112.857453,90.5
32.322661,-111.038389,51.75471698113208
32.414344,-111.154544,56.0
32.174538,-110.737116,73.625
32.201978,-110.967905,53.51851851851852
32.204411,-110.878067,54.25
32.425261,-111.06352,60.704918032786885
32.04767,-110.774357,51.30769230769231
32.125919,-110.982556,55.0
32.29515,-110.9823,62.52272727272727
31.87952,-110.99644,54.0
32.172995,-110.980134,84.0
32.248712,-111.218494,74.75
32.877583,-111.752222,55.875
33.4214,-111.5436,34.0
33.421194,-111.503222,43.666666666666664
32.954361,-111.76225,41.449438202247194
32.7559,-111.5551,77.5
32.508306,-111.308056,77.66666666666667
32.881194,-111.962,62.0
33.0585,-112.047219,80.71428571428571
32.891056,-111.5705,75.91666666666667
33.081704,-111.752943,89.7
33.293465,-111.285594,80.34193548387097
31.337204,-110.936718,53.60655737704918
34.42888,-112.961944,53.52466367713004
34.595,-112.331,31.0
34.340556,-111.683923,15.078947368421053
32.677001,-114.648905,34.84375
32.677855,-114.475861,53.89119170984456
34.518515,-91.55896,53.10526315789474
33.139471,-91.939208,55.205128205128204
34.1795,-93.0988,38.170212765957444
35.838686,-90.708724,53.4051724137931
35.147591,-90.176483,54.31666666666667
35.197288,-90.193141,47.884488448844884
35.105193,-92.427859,55.970873786407765
34.510367,-93.054346,49.25
34.469441,-93.000178,53.31132075471698
34.190931,-92.058531,53.87179487179487
36.084239,-92.58683,44.8
33.427625,-94.041021,52.682539682539684
35.92924,-89.900919,51.75675675675676
34.649822,-93.816866,32.91135734072022
35.832726,-93.20826,47.10443037974684
35.825893,-93.203187,56.32608695652174
34.529766,-90.586049,52.991379310344826
34.583699,-94.226234,49.3625
34.454514,-94.143521,53.829268292682926
35.259775,-93.10005,53.12820512820513
34.756189,-92.281296,61.57142857142857
34.835721,-92.260581,81.52173913043478
34.729603,-92.243587,60.0
34.676268,-92.337164,56.97142857142857
35.389672,-94.424288,52.19266055045872
33.214464,-92.654228,52.125
33.220563,-92.672263,53.62820512820513
36.045831,-94.169183,48.73451327433628
35.24894,-91.715596,52.91228070175438
37.710229,-122.116899,33.25
37.687526,-121.784217,51.61904761904762
37.760229,-122.193578,38.75609756097561
37.535833,-121.961823,42.2962962962963
37.654456,-122.031547,41.25
38.342606,-120.764426,48.701369863013696
39.757371,-121.843286,68.16
39.708454,-121.617309,78.29585798816568
39.327563,-121.668811,60.05263157894737
38.20185,-120.680277,59.895890410958906
39.18919,-121.99887,41.23287671232877
37.936013,-122.026154,62.23566878980892
38.031221,-122.132877,43.10344827586207
38.006311,-121.641918,49.30769230769231
37.9604,-122.356811,38.774193548387096
38.029258,-121.896866,45.0
41.560952,-124.083964,17.555555555555557
41.7644,-124.1998,13.081632653061224
38.725282,-120.821916,113.9375
38.944979,-119.970609,49.857142857142854
38.81161,-120.033084,49.483333333333334
38.890941,-121.003373,119.67647058823529
38.842126,-120.407631,67.80645161290323
36.705474,-119.741332,74.71428571428571
36.781333,-119.77319,99.328
36.841592,-119.874739,99.0
36.803009,-119.770148,100.0
36.597442,-119.503659,126.45
36.819449,-119.716433,93.33333333333333
36.72639,-119.733,91.0
39.51766,-122.191371,41.69315068493151
40.80178,-124.1621,35.546875
32.978379,-115.534156,62.2
32.673948,-115.503884,91.28571428571429
32.67618,-115.48307,73.54545454545455
32.677833,-115.390544,63.34117647058824
32.79222,-115.56306,75.6987951807229
